이름	그룹	프로필	사용	작업	다시 정의	프로그램	로컬 주소	원격 주소	프로토콜	로컬 포트	원격 포트	권한이 부여된 사용자	권한이 부여된 컴퓨터	권한 있는 로컬 보안 주체	로컬 사용자 소유자	응용 프로그램 패키지	
DemonUserInfo.exe		도메인	아니요	허용	아니요	C:\Program Files (x86)\DemonUserInfo\DemonUserInfo.exe	모두	모두	UDP	모두	모두	모두	모두	모두	모두	모두	
DemonUserInfo.exe		도메인	아니요	허용	아니요	C:\Program Files (x86)\DemonUserInfo\DemonUserInfo.exe	모두	모두	TCP	모두	모두	모두	모두	모두	모두	모두	
DemonUserInfo.exe		공용	예	허용	아니요	C:\Program Files (x86)\DemonUserInfo\DemonUserInfo.exe	모두	모두	UDP	모두	모두	모두	모두	모두	모두	모두	
DemonUserInfo.exe		공용	예	허용	아니요	C:\Program Files (x86)\DemonUserInfo\DemonUserInfo.exe	모두	모두	TCP	모두	모두	모두	모두	모두	모두	모두	
FTP_50100		모두	예	허용	아니요	모두	모두	모두	TCP	50100	모두	모두	모두	모두	모두	모두	
FTP_55000		모두	예	허용	아니요	모두	모두	모두	TCP	55000	모두	모두	모두	모두	모두	모두	
MSSQL_1433		모두	예	허용	아니요	모두	모두	192.168.1.32, 192.168.1.37, 192.168.1.33	TCP	1433	모두	모두	모두	모두	모두	모두	
NaverAdminAPISvc.exe		공용	아니요	허용	아니요	C:\Program Files (x86)\naver\NaverCommon\NaverAdminAPISvc.exe	모두	모두	TCP	모두	모두	모두	모두	모두	모두	모두	
NaverAdminAPISvc.exe		공용	아니요	허용	아니요	C:\Program Files (x86)\naver\NaverCommon\NaverAdminAPISvc.exe	모두	모두	UDP	모두	모두	모두	모두	모두	모두	모두	
WEB_4500_port_통신		공용	예	허용	아니요	모두	모두	211.104.61.55	TCP	4500	모두	모두	모두	모두	모두	모두	
WEB_HOGA		모두	아니요	허용	아니요	%USERPROFILE%\Desktop\test\Project1.exe	모두	모두	모두	모두	모두	모두	모두	모두	모두	모두	
BranchCache 콘텐츠 검색(HTTP-In)	BranchCache - 콘텐츠 검색(HTTP 사용)	모두	아니요	허용	아니요	SYSTEM	모두	모두	TCP	80	모두	모두	모두	모두	모두	모두	
BranchCache 피어 검색(WSD-In)	BranchCache - 피어 검색(WSD 사용)	모두	아니요	허용	아니요	%systemroot%\system32\svchost.exe	모두	로컬 서브넷	UDP	3702	모두	모두	모두	모두	모두	모두	
